id,status,currency,country_code,country_name
2620,success,NGN,NG,Nigeria
2621,abandoned,NGN,null,null
2622,abandoned,USD,null,null
2623,failed,NGN,null,null
2624,success,NGN,NG,Nigeria
2625,success,NGN,NG,Nigeria
2626,abandoned,USD,null,null
2627,abandoned,NGN,null,null
2628,abandoned,NGN,null,null
2629,abandoned,NGN,null,null
2630,abandoned,NGN,null,null
2631,success,NGN,NG,Nigeria
2632,success,NGN,NG,Nigeria
2633,abandoned,NGN,null,null
2634,success,NGN,NG,Nigeria
2635,failed,NGN,NG,Nigeria
2636,success,NGN,NG,Nigeria
2637,abandoned,NGN,NG,Nigeria
2638,abandoned,NGN,null,null
2639,abandoned,NGN,null,null
2640,abandoned,NGN,null,null
2641,success,NGN,NG,Nigeria
2642,success,NGN,NG,Nigeria
2643,success,NGN,NG,Nigeria
2644,abandoned,NGN,null,null
2645,abandoned,NGN,null,null
2646,abandoned,NGN,null,null
2647,failed,USD,US,United States
2648,abandoned,NGN,null,null
2649,abandoned,NGN,null,null
2650,success,NGN,NG,Nigeria
2651,abandoned,NGN,null,null
2652,success,NGN,NG,Nigeria
2653,abandoned,NGN,null,null
2654,abandoned,NGN,null,null
2655,success,NGN,NG,Nigeria
2656,abandoned,NGN,null,null
2657,abandoned,NGN,null,null
2658,failed,NGN,NG,Nigeria
2659,failed,NGN,NG,Nigeria
2660,success,NGN,NG,Nigeria
2661,abandoned,NGN,null,null
2662,abandoned,NGN,null,null
2663,success,NGN,NG,Nigeria
2664,success,NGN,CA,Canada
2665,abandoned,NGN,null,null
2666,success,NGN,GB,United Kingdom
2667,failed,NGN,NG,Nigeria
2668,success,NGN,NG,Nigeria
2669,abandoned,NGN,null,null
2670,success,NGN,NG,Nigeria
2671,abandoned,NGN,null,null
2672,success,NGN,NG,Nigeria
2673,success,NGN,NG,Nigeria
2674,success,USD,GB,United Kingdom
2675,success,NGN,NG,Nigeria
2676,abandoned,NGN,null,null
2677,success,USD,US,United States
2678,abandoned,USD,null,null
2679,abandoned,USD,null,null
2680,failed,NGN,NG,Nigeria
2681,abandoned,NGN,null,null
